timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-09-26T10:48:06,llama2_emissions,3112524c-d5ba-4e6c-81ad-98cbf100084a,3.4439074993133545,4.069142571274492e-05,1.181548160653501e-05,75.0,1824.1141402837904,32.36384582519531,7.174502313137054e-05,0.0003767975236599,3.0862555916546626e-05,0.0004794051027079,France,FRA,,,,Linux-5.15.0-116-generic-x86_64-with-glibc2.35,3.10.12,2.5.0,30,Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,2,2 x Tesla V100S-PCIE-32GB,2.3387,48.8582,86.3035888671875,machine,N,1.0
2024-09-26T10:48:12,llama2_emissions,36e7783d-933c-402d-aa2d-4b5ecdd810f5,2.725126981735229,3.2765659643926154e-05,1.202353499984891e-05,75.0,1052.9384259363544,32.36384582519531,5.6770299871762594e-05,0.0003048477438779,2.4409827030128025e-05,0.0003860278707798,France,FRA,,,,Linux-5.15.0-116-generic-x86_64-with-glibc2.35,3.10.12,2.5.0,30,Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,2,2 x Tesla V100S-PCIE-32GB,2.3387,48.8582,86.3035888671875,machine,N,1.0
2024-09-26T10:48:21,llama2_emissions,7f376563-3673-47a1-ab7d-19a0f9e5da68,3.463337182998657,4.1616856888694016e-05,1.201640345415659e-05,75.0,0.0,32.36384582519531,7.214979330698648e-05,0.00038708225411,3.1076001555008284e-05,0.0004903080489719,France,FRA,,,,Linux-5.15.0-116-generic-x86_64-with-glibc2.35,3.10.12,2.5.0,30,Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,2,2 x Tesla V100S-PCIE-32GB,2.3387,48.8582,86.3035888671875,machine,N,1.0
2024-09-26T10:48:28,llama2_emissions,fcea7ae7-7f6f-4e3d-986c-5af0f9f9a08c,3.4583780765533447,4.156778367363212e-05,1.2019444593246729e-05,75.0,0.0,32.36384582519531,7.204620540142058e-05,0.0003866514204319,3.103226817608023e-05,0.0004897298940094,France,FRA,,,,Linux-5.15.0-116-generic-x86_64-with-glibc2.35,3.10.12,2.5.0,30,Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,2,2 x Tesla V100S-PCIE-32GB,2.3387,48.8582,86.3035888671875,machine,N,1.0
2024-09-26T10:48:35,llama2_emissions,70065fdd-5df1-4981-879d-d03648f16ac7,3.4622673988342285,4.160388021493244e-05,1.2016368299265614e-05,75.0,0.0,32.36384582519531,7.212709387143453e-05,0.00038696003179,3.1068038924998595e-05,0.0004901551645864,France,FRA,,,,Linux-5.15.0-116-generic-x86_64-with-glibc2.35,3.10.12,2.5.0,30,Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,2,2 x Tesla V100S-PCIE-32GB,2.3387,48.8582,86.3035888671875,machine,N,1.0
2024-09-26T10:48:41,llama2_emissions,ae49eb77-7da4-4355-964a-65ca945122e7,3.4668867588043213,4.16621929826045e-05,1.2017177335487354e-05,75.0,624.8743076056987,32.36384582519531,7.222325106461843e-05,0.000387566698942,3.1052225120365614e-05,0.0004908421751269,France,FRA,,,,Linux-5.15.0-116-generic-x86_64-with-glibc2.35,3.10.12,2.5.0,30,Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,2,2 x Tesla V100S-PCIE-32GB,2.3387,48.8582,86.3035888671875,machine,N,1.0
2024-09-26T10:48:49,llama2_emissions,01c7ba24-6cdc-4d6b-b69c-edad064a1e3f,3.4645137786865234,4.166772748921928e-05,1.2027005851602204e-05,75.0,967.4577004171016,32.36384582519531,7.217397292455037e-05,0.000387670865692,3.1062541173726764e-05,0.0004909073797902,France,FRA,,,,Linux-5.15.0-116-generic-x86_64-with-glibc2.35,3.10.12,2.5.0,30,Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,2,2 x Tesla V100S-PCIE-32GB,2.3387,48.8582,86.3035888671875,machine,N,1.0
2024-09-26T10:48:54,llama2_emissions,e476cdce-a5b2-4e76-85cb-84095c33c7c1,1.1720564365386963,1.2661867802434145e-05,1.080312125568546e-05,75.0,0.0,32.36384582519531,2.441426614920298e-05,0.0001142828692039,1.047837098446204e-05,0.0001491755063376,France,FRA,,,,Linux-5.15.0-116-generic-x86_64-with-glibc2.35,3.10.12,2.5.0,30,Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,2,2 x Tesla V100S-PCIE-32GB,2.3387,48.8582,86.3035888671875,machine,N,1.0
2024-09-26T10:49:01,llama2_emissions,216c6ea2-992f-4c35-a0bc-4f7955f26158,3.43864107131958,4.151901993273481e-05,1.2074252319914818e-05,75.0,613.2940123408175,32.36384582519531,7.163532078266143e-05,0.0003866947538,3.082531052713117e-05,0.0004891553851098,France,FRA,,,,Linux-5.15.0-116-generic-x86_64-with-glibc2.35,3.10.12,2.5.0,30,Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,2,2 x Tesla V100S-PCIE-32GB,2.3387,48.8582,86.3035888671875,machine,N,1.0
2024-09-26T10:49:08,llama2_emissions,ad7e3cfe-5101-4fb7-adf6-d13b343677b4,3.4428582191467285,4.152974102137916e-05,1.206257660870851e-05,75.0,0.0,32.36384582519531,7.172288000583649e-05,0.0003866819760119,3.0876839352989314e-05,0.0004892816953708,France,FRA,,,,Linux-5.15.0-116-generic-x86_64-with-glibc2.35,3.10.12,2.5.0,30,Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,2,2 x Tesla V100S-PCIE-32GB,2.3387,48.8582,86.3035888671875,machine,N,1.0
2024-09-26T10:49:13,llama2_emissions,ec5d0ace-eb07-431a-89fd-ce4dba15e43c,0.4136478900909424,4.6359133107663e-06,1.1207390202684396e-05,75.0,0.0,32.36384582519531,8.61463447411855e-06,4.234281165201026e-05,3.6604606678520208e-06,5.461790679398084e-05,France,FRA,,,,Linux-5.15.0-116-generic-x86_64-with-glibc2.35,3.10.12,2.5.0,30,Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,2,2 x Tesla V100S-PCIE-32GB,2.3387,48.8582,86.3035888671875,machine,N,1.0
2024-09-26T10:49:19,llama2_emissions,e9a06f89-a64e-4383-ad91-94885504569c,3.435615301132202,4.151163478019065e-05,1.2082736610967632e-05,75.0,2145.707547392626,32.36384582519531,7.15719610452652e-05,0.00038673364272,3.0762773338492474e-05,0.0004890683771037,France,FRA,,,,Linux-5.15.0-116-generic-x86_64-with-glibc2.35,3.10.12,2.5.0,30,Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,2,2 x Tesla V100S-PCIE-32GB,2.3387,48.8582,86.3035888671875,machine,N,1.0
2024-09-26T10:49:27,llama2_emissions,956af702-3f0c-4f80-a764-e1814acdda60,3.447937488555908,4.15347638300851e-05,1.2046263590318458e-05,75.0,0.0,32.36384582519531,7.18286136786143e-05,0.000386574475926,3.093778187225325e-05,0.0004893408714768,France,FRA,,,,Linux-5.15.0-116-generic-x86_64-with-glibc2.35,3.10.12,2.5.0,30,Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,2,2 x Tesla V100S-PCIE-32GB,2.3387,48.8582,86.3035888671875,machine,N,1.0
2024-09-26T10:49:34,llama2_emissions,fad400e2-e554-4a38-83c0-37a07c493ada,3.435448169708252,4.147922509720888e-05,1.2073890522624711e-05,75.0,0.0,32.36384582519531,7.15685933828354e-05,0.0003862950312579,3.082291852306904e-05,0.0004886865431639,France,FRA,,,,Linux-5.15.0-116-generic-x86_64-with-glibc2.35,3.10.12,2.5.0,30,Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,2,2 x Tesla V100S-PCIE-32GB,2.3387,48.8582,86.3035888671875,machine,N,1.0
2024-09-26T10:49:41,llama2_emissions,8114552f-3cf3-4e24-804b-34e5241dea5e,3.456576347351074,4.060202052466333e-05,1.1746310928667449e-05,75.0,0.0,32.36384582519531,7.200878361860911e-05,0.000375327244706,3.1015749201790945e-05,0.0004783517775264,France,FRA,,,,Linux-5.15.0-116-generic-x86_64-with-glibc2.35,3.10.12,2.5.0,30,Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,2,2 x Tesla V100S-PCIE-32GB,2.3387,48.8582,86.3035888671875,machine,N,1.0
